#TICID  tstart  tend  ED  Amplitude  Ebol Cadence
394356010 2080.932 2080.936 32.100 0.138 1.025E+32 120
394356010 2079.247 2079.251 23.863 0.100 7.619E+31 120
394356010 2083.695 2083.700 18.468 0.060 5.897E+31 120
394356010 1339.993 1339.997 17.130 0.061 5.470E+31 120
394356010 2067.679 2067.683 16.858 0.057 5.383E+31 120
394356010 1332.036 1332.041 13.096 0.042 4.182E+31 120
394356010 2388.564 2388.569 29.693 0.095 9.481E+31 120
394356010 2376.098 2376.123 113.132 0.175 3.612E+32 120
394356010 2384.872 2384.902 133.323 0.093 4.257E+32 120
394356010 2383.326 2383.352 173.675 0.155 5.545E+32 120
394356010 2362.974 2363.010 349.020 0.345 1.114E+33 120
220429097 1334.067 1334.075 82.034 0.218 1.571E+32 120
220429097 1334.932 1334.939 39.269 0.074 7.521E+31 120
220429097 1378.327 1378.337 93.891 0.329 1.798E+32 120
220429097 1369.710 1369.716 24.478 0.064 4.688E+31 120
220429097 1400.576 1400.581 47.365 0.203 9.072E+31 120
220429097 1454.041 1454.045 40.506 0.186 7.758E+31 120
220429097 1439.452 1439.456 26.677 0.127 5.109E+31 120
220429097 1514.921 1514.930 126.648 0.279 2.426E+32 120
220429097 1512.690 1512.694 62.768 0.253 1.202E+32 120
220429097 1562.120 1562.130 105.721 0.216 2.025E+32 120
220429097 1661.632 1661.659 627.103 1.030 1.201E+33 120
220429097 1662.491 1662.495 46.160 0.202 8.841E+31 120
220429097 2044.844 2044.856 156.803 0.253 3.003E+32 120
220429097 2052.222 2052.227 62.580 0.245 1.199E+32 120
220429097 2062.594 2062.602 101.247 0.515 1.939E+32 120
220429097 2062.632 2062.636 28.855 0.105 5.526E+31 120
220429097 2081.082 2081.099 412.209 1.245 7.895E+32 120
220429097 2081.767 2081.781 129.158 0.255 2.474E+32 120
220429097 2084.193 2084.200 92.388 0.254 1.769E+32 120
220429097 2091.806 2091.813 43.236 0.124 8.281E+31 120
220429097 2120.866 2120.878 147.149 0.408 2.818E+32 120
220429097 2164.302 2164.315 91.344 0.118 1.749E+32 120
220429097 2154.451 2154.460 49.299 0.097 9.442E+31 120
220429097 2153.980 2153.985 38.918 0.174 7.454E+31 120
220429097 2154.424 2154.428 25.058 0.092 4.799E+31 120
220429097 2134.541 2134.545 23.227 0.074 4.449E+31 120
220429097 2189.093 2189.124 606.433 1.399 1.161E+33 120
